,Subject,Assignment,Status,Time,Priority,Start date,Due on
,,Improving language understanding by generative pre-training - Radford et al (GPT-I),,,Important,,
,,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context - R. Salakhutdinov,Done,,Important,,
,ACL 2019,Incorporating Syntactic and Semantic Information in Word Embeddings using Graph Convolutional Networks - Talukdar,,,High,,
,ACL 2019,"Self-Supervised Learning for Contextualized Extractive Summarization
 ",,,High,,
,,Deep Adversarial Learning for NLP - W.Wang (Tutorial NAACL 2019),In progress,,Important,,
,,stochastic neighbor embedding - Hinton,,,,,
,,Visualizing Data using t-SNE - Hinton (JMLR),,,,,
,NAACL 2019,Unifying Human and Statistical Evaluation forNatural Language Generation - Hashimoto,,,Important,,
,NAACL 2019,The Curious Case of Neural Text Degeneration - Holtzmann,Done,,Important,,
,,Beyond BLEU: Training Neural Machine Translation with Semantic Similarity. Wieting et al. 2019,,,Important,,
,ACL 2016,Minimum Risk Training for Neural Machine Translation - Shen et al,,,High,,
,EMNLP 2017,Adversarial Training for Relation Extraction - Russell et al,,,,,
,,XLNet,Done,,Important,,
,,"Avoiding Reasoning Shortcuts: Adversarial Evaluation, Training, and Model Development for Multi-Hop QA - Mohit Bansal",,,,,
,,Syntax-Infused Variational Autoencoder for Text Generation - L. Carin,,,,,
,,Explain Yourself! Leveraging Language Models for Commonsense Reasoning - R. Socher,,,Important,,
,,SHAPED: Shared-Private Encoder-Decoder for Text Style Adaptation - Ye Zhang,,,High,,
,,"Multilingual Neural Machine Translation With Soft Decoupled Encoding - Neubig, ICLR 2019",,,High,,
,,"A Decomposable Attention Model for Natural Language Inference - Parikh et al, EMNLP 2016",,,,,
,,Analyzing the Structure of Attention in a Transformer Language Model - Vig et al.,,,High,,
,,Deep Bayesian Natural Language Processing (acl tUTORIAL),,,,,
,,NEURAL TEXT GENERATION WITH UNLIKELIHOOD TRAINING - J. Weston,Done,,Important,,
,,"Pathologies of Neural Models Make Interpretations Difficult - Shi Feng, EMNLP 2018",,,Important,,
,,"A SIMPLE BUT TOUGH-TO-BEAT BASELINE FOR SENTENCE EMBEDDINGS
 - S. Arora et al",,,,,
,ACL 2019,"A Lightweight Recurrent Network for Sequence Modeling
 - ACL 2019",,,,,
,,Latent Relation Language Models - G.Neubig (EMNLP/ACL 2019),,,,,
,,Discourse Based Objectives for Fast unsupervised sentence representation learning - Bowman et al.,Done,,Important,,
,NAACL 19,Generating Text through Adversarial Training using Skip-Thought Vectors,,,Important,,
,,DisSent: Sentence Representation Learning from Explicit Discourse Relations - FAIR,,,Important,,
,,ERNIE: Enhanced Representation through Knowledge Integration,,,Important,,
,ICLR 19,Representation Degeneration Problem in Training Natural Language Generation Models - Gao et al,Done,,Important,,
,EMNLP 2019,Implicit Deep Latent Variable Models for Text Generation - Jianfeng Gao,,,Important,,
,,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,,,,,
,,"Universal Adversarial Triggers for Attacking and Analyzing NLP
 - Matt Gardner",,,,,
,,"Are Sixteen Heads Really Better than One?
 - G. Neubig",,,,,
,,Unified Language Model Pre-training for Natural Language Understanding and Generation - Jianfeng Gao,Done,,Important,,
,,Dual Supervised Learning for Natural Language Understanding and Generation - ACL 2019,,,Important,,
,,What Does This Word Mean? Explaining Contextualized Embeddings with Natural Language Definition - EMNLP 2019,,,,,
,,Evaluating the Factual Consistency of Abstractive Text Summarization - R. Socher,,,High,,
,,"How Contextual are Contextualized Word Representations? Comparing the Geometry of BERT, ELMo, and GPT-2 Embeddings - KE",Done,,High,,
,,Exploring the Limits of Transfer Learning with aUnified Text-to-Text Transformer - Noam Shazeer,,,,,
,,"Spherical Latent Spaces for Stable Variational Autoencoders
 -  EMNLP 2018",,,Important,,
